,band1,band2,band3,band4,id,labels
0,0.1563,0.1684,0.1416,0.1194,0,1
1,0.173,0.2032,0.1586,0.1238,1,1
2,0.176,0.205,0.1638,0.127,2,1
3,0.1402,0.1558,0.132,0.1191,3,1
4,0.1416,0.1575,0.1317,0.1202,4,1
5,0.1433,0.1647,0.1378,0.1248,5,1
6,0.1771,0.1937,0.203,0.1852,6,2
7,0.1788,0.1907,0.1925,0.1971,7,2
8,0.174,0.1915,0.2008,0.2232,8,2
9,0.1628,0.1736,0.1776,0.1742,9,2
10,0.1636,0.1808,0.1893,0.1854,10,2
11,0.1746,0.1872,0.1936,0.2124,11,2
12,0.1636,0.1725,0.1795,0.2414,12,2
13,0.162,0.1748,0.1722,0.1697,13,2
14,0.1574,0.1702,0.1746,0.1936,14,2
15,0.1694,0.1836,0.1922,0.2138,15,2
16,0.161,0.1792,0.1858,0.2448,16,2
17,0.1638,0.1728,0.1797,0.1973,17,2
18,0.1686,0.1814,0.1842,0.1976,18,2
19,0.1681,0.1834,0.1943,0.2102,19,2
20,0.1415,0.1578,0.1359,0.4002,20,3
21,0.1385,0.1554,0.1345,0.402,21,3
22,0.1402,0.1593,0.1368,0.3878,22,3
23,0.1434,0.1611,0.1414,0.3918,23,3
24,0.1624,0.2042,0.1598,0.4772,24,3
25,0.1398,0.1567,0.1379,0.4068,25,3
26,0.1465,0.1856,0.1456,0.4748,26,3
27,0.1446,0.162,0.1487,0.3358,27,3
28,0.154,0.1852,0.1552,0.494,28,3
29,0.1672,0.2234,0.53,0.5808,29,4
30,0.1452,0.1805,0.1398,0.5252,30,3
31,0.1404,0.1588,0.1394,0.361,31,3
32,0.1546,0.206,0.1568,0.5444,32,3
33,0.1594,0.196,0.1681,0.412,33,3
34,0.1438,0.1651,0.142,0.3978,34,3
35,0.1449,0.1808,0.1449,0.41,35,3
36,0.1535,0.1739,0.1564,0.4094,36,3
37,0.135,0.1486,0.132,0.39,37,3
38,0.1379,0.1514,0.135,0.3786,38,3
39,0.1398,0.162,0.1404,0.4044,39,3
40,0.1359,0.1516,0.1336,0.398,40,3
41,0.1662,0.1844,0.1921,0.215,41,2
42,0.1794,0.2002,0.2212,0.2598,42,2
43,0.3044,0.3376,0.3732,0.4082,43,4
44,0.347,0.3836,0.4124,0.4356,44,4
45,0.1994,0.205,0.2928,0.3082,45,4
46,0.349,0.3548,0.3968,0.4564,46,4
47,0.2732,0.297,0.3232,0.4,47,4
48,0.2764,0.288,0.3144,0.353,48,4
49,0.277,0.321,0.336,0.3718,49,4
50,0.1973,0.2416,0.2794,0.3728,50,4
51,0.2074,0.2306,0.2764,0.3408,51,4
52,0.2982,0.2816,0.3216,0.3974,52,4
53,0.2628,0.2912,0.332,0.4112,53,4
54,0.5168,0.5376,0.5352,0.5164,54,4
55,0.235,0.234,0.3036,0.3406,55,4
56,1.872,1.72,1.7616,1.6944,56,4
57,0.3348,0.3946,0.357,0.476,57,4
58,0.1914,0.203,0.303,0.332,58,4
59,0.2222,0.2374,0.369,0.4108,59,4
60,0.3496,0.3236,0.3432,0.4356,60,4
61,0.3308,0.3486,0.3438,0.3792,61,4
62,0.4228,0.466,0.4996,0.524,62,4
63,0.2664,0.304,0.3658,0.409,63,4
64,0.404,0.4256,0.456,0.4168,64,4
65,0.746,1.4712,1.132,1.4816,65,4
66,0.2188,0.2334,0.4468,0.4608,66,4
67,0.2214,0.2448,0.3928,0.4184,67,4
68,0.624,0.476,0.648,0.5504,68,4
69,0.1985,0.2226,0.3492,0.3884,69,4
70,0.152,0.1744,0.1628,0.3834,70,3
71,0.1414,0.1657,0.1416,0.4868,71,3
72,0.1432,0.1639,0.1435,0.4042,72,3
